MERGE	entregar	es:entregar	bare lemma tag, now namespaced
MERGE	enviar	es:enviar	bare lemma tag, now namespaced
MERGE	apagar	es:apagar	bare lemma tag, now namespaced
MERGE	aparecer	es:aparecer	bare lemma tag, now namespaced
MERGE	casar	es:casar	bare lemma tag, now namespaced
MERGE	salvar	es:salvar	bare lemma tag, now namespaced
MERGE	sell	en:sell	bare lemma tag, now namespaced
MERGE	sentar	es:sentar	bare lemma tag, now namespaced
MERGE	show	en:show	bare lemma tag, now namespaced
MERGE	smell	es:smell	bare lemma tag, now namespaced
MERGE	sneak	es:sneak	bare lemma tag, now namespaced
MERGE	speed	es:speed	bare lemma tag, now namespaced
MERGE	spell	es:spell	bare lemma tag, now namespaced
MERGE	spill	es:spill	bare lemma tag, now namespaced
MERGE	spit	es:spit	bare lemma tag, now namespaced
MERGE	strive	es:strive	bare lemma tag, now namespaced
MERGE	choose	en:choose	bare lemma tag, now namespaced
MERGE	fine	en:fine	bare lemma tag, now namespaced
MERGE	sweat	es:sweat	bare lemma tag, now namespaced
MERGE	clear	en:clear	bare lemma tag, now namespaced
MERGE	thrive	es:thrive	bare lemma tag, now namespaced
MERGE	clothe	es:clothe	bare lemma tag, now namespaced
MERGE	forget	en:forget	bare lemma tag, now namespaced
MERGE	cobrar	es:cobrar	bare lemma tag, now namespaced
MERGE	gastar	es:gastar	bare lemma tag, now namespaced
MERGE	avisar	es:avisar	bare lemma tag, now namespaced
MERGE	wear	en:wear	bare lemma tag, now namespaced
MERGE	wed	es:wed	bare lemma tag, now namespaced
MERGE	wet	es:wet	bare lemma tag, now namespaced
MERGE	awake	es:awake	bare lemma tag, now namespaced
MERGE	great	en:great	bare lemma tag, now namespaced
MERGE	hang	es:hang	bare lemma tag, now namespaced
MERGE	hear	en:hear	bare lemma tag, now namespaced
MERGE	because	en:because	bare lemma tag, now namespaced
MERGE	jugar	es:jugar	bare lemma tag, now namespaced
MERGE	kneel	es:kneel	bare lemma tag, now namespaced
MERGE	knit	es:knit	bare lemma tag, now namespaced
MERGE	current	en:current	bare lemma tag, now namespaced
MERGE	lean	es:lean	bare lemma tag, now namespaced
MERGE	leap	es:leap	bare lemma tag, now namespaced
MERGE	learn	es:learn	bare lemma tag, now namespaced
MERGE	light	es:light	bare lemma tag, now namespaced
MERGE	lograr	es:lograr	bare lemma tag, now namespaced
MERGE	mantener	es:mantener	bare lemma tag, now namespaced
MERGE	miss	en:miss	bare lemma tag, now namespaced
MERGE	become	en:become	bare lemma tag, now namespaced
MERGE	regresar	es:regresar	bare lemma tag, now namespaced
MERGE	win	en:win	bare lemma tag, now namespaced
MERGE	stay	en:stay	bare lemma tag, now namespaced
MERGE	matar	es:matar	bare lemma tag, now namespaced
MERGE	lie	es:lie	bare lemma tag, now namespaced
MERGE	break	en:break	bare lemma tag, now namespaced
MERGE	full	en:full	bare lemma tag, now namespaced
MERGE	pass	en:pass	bare lemma tag, now namespaced
MERGE	bid	es:bid	bare lemma tag, now namespaced
MERGE	stink	es:stink	bare lemma tag, now namespaced
MERGE	dive	es:dive	bare lemma tag, now namespaced
MERGE	owe	en:owe	bare lemma tag, now namespaced
MERGE	averiguar	es:averiguar	bare lemma tag, now namespaced
MERGE	vender	es:vender	bare lemma tag, now namespaced
MERGE	write	en:write	bare lemma tag, now namespaced
MERGE	achieve	en:achieve	bare lemma tag, now namespaced
MERGE	ayudar	es:ayudar	bare lemma tag, now namespaced
MERGE	prove	es:prove	bare lemma tag, now namespaced
MERGE	sew	es:sew	bare lemma tag, now namespaced
MERGE	burst	en:burst	bare lemma tag, now namespaced
MERGE	shave	es:shave	bare lemma tag, now namespaced
MERGE	play	en:play	bare lemma tag, now namespaced
MERGE	require	en:require	bare lemma tag, now namespaced
MERGE	help	en:help	bare lemma tag, now namespaced
MERGE	here	en:here	bare lemma tag, now namespaced
MERGE	lay	en:lay	bare lemma tag, now namespaced
MERGE	shrink	es:shrink	bare lemma tag, now namespaced
MERGE	shut	en:shut	bare lemma tag, now namespaced
MERGE	wake	en:wake	bare lemma tag, now namespaced
MERGE	swell	es:swell	bare lemma tag, now namespaced
MERGE	tear	en:tear	bare lemma tag, now namespaced
MERGE	sink	es:sink	bare lemma tag, now namespaced
MERGE	hope	en:hope	bare lemma tag, now namespaced
MERGE	sit	en:sit	bare lemma tag, now namespaced
MERGE	sleep	es:sleep	bare lemma tag, now namespaced
MERGE	entender	es:entender	bare lemma tag, now namespaced
MERGE	watch	en:watch	bare lemma tag, now namespaced
MERGE	enough	en:enough	bare lemma tag, now namespaced
MERGE	lead	en:lead	bare lemma tag, now namespaced
MERGE	spring	es:spring	bare lemma tag, now namespaced
MERGE	tread	es:tread	bare lemma tag, now namespaced
MERGE	ofrecer	es:ofrecer	bare lemma tag, now namespaced
MERGE	bear	es:bear	bare lemma tag, now namespaced
MERGE	find	en:find	bare lemma tag, now namespaced
MERGE	sow	es:sow	bare lemma tag, now namespaced
MERGE	rid	es:rid	bare lemma tag, now namespaced
MERGE	difficult	en:difficult	bare lemma tag, now namespaced
MERGE	rise	es:rise	bare lemma tag, now namespaced
MERGE	después	es:después	bare lemma tag, now namespaced
MERGE	despite	en:despite	bare lemma tag, now namespaced
MERGE	spend	en:spend	bare lemma tag, now namespaced
MERGE	mow	es:mow	bare lemma tag, now namespaced
MERGE	dig	es:dig	bare lemma tag, now namespaced
MERGE	bet	es:bet	bare lemma tag, now namespaced
MERGE	grind	es:grind	bare lemma tag, now namespaced
MERGE	wind	es:wind	bare lemma tag, now namespaced
MERGE	grow	es:grow	bare lemma tag, now namespaced
MERGE	easy	en:easy	bare lemma tag, now namespaced
MERGE	comprar	es:comprar	bare lemma tag, now namespaced
MERGE	bleed	es:bleed	bare lemma tag, now namespaced
MERGE	happen	en:happen	bare lemma tag, now namespaced
MERGE	happy	en:happy	bare lemma tag, now namespaced
MERGE	broadcast	es:broadcast	bare lemma tag, now namespaced
MERGE	due	en:due	bare lemma tag, now namespaced
MERGE	hate	en:hate	bare lemma tag, now namespaced
MERGE	mirar	es:mirar	bare lemma tag, now namespaced
MERGE	hide	es:hide	bare lemma tag, now namespaced
MERGE	hit	es:hit	bare lemma tag, now namespaced
MERGE	breed	es:breed	bare lemma tag, now namespaced
MERGE	bastar	es:bastar	bare lemma tag, now namespaced
MERGE	spin	es:spin	bare lemma tag, now namespaced
MERGE	igual	es:igual	bare lemma tag, now namespaced
MERGE	important	en:important	bare lemma tag, now namespaced
MERGE	consulta	es:consulta	bare lemma tag, now namespaced
MERGE	continue	en:continue	bare lemma tag, now namespaced
MERGE	beat	es:beat	bare lemma tag, now namespaced
MERGE	drive	es:drive	bare lemma tag, now namespaced
MERGE	blame	en:blame	bare lemma tag, now namespaced
MERGE	creep	es:creep	bare lemma tag, now namespaced
MERGE	is	en:is	bare lemma tag, now namespaced
MERGE	cross	en:cross	bare lemma tag, now namespaced
MERGE	just	en:just	bare lemma tag, now namespaced
MERGE	antiguo	es:antiguo	bare lemma tag, now namespaced
MERGE	dentro	es:dentro	bare lemma tag, now namespaced
MERGE	bite	es:bite	bare lemma tag, now namespaced
MERGE	large	en:large	bare lemma tag, now namespaced
MERGE	draw	es:draw	bare lemma tag, now namespaced
MERGE	según	es:según	bare lemma tag, now namespaced
MERGE	cut	es:cut	bare lemma tag, now namespaced
MERGE	seek	es:seek	bare lemma tag, now namespaced
MERGE	secure	en:secure	bare lemma tag, now namespaced
MERGE	shake	es:shake	bare lemma tag, now namespaced
MERGE	shed	es:shed	bare lemma tag, now namespaced
MERGE	shine	es:shine	bare lemma tag, now namespaced
MERGE	second	en:second	bare lemma tag, now namespaced
MERGE	shoot	es:shoot	bare lemma tag, now namespaced
MERGE	cast	es:cast	bare lemma tag, now namespaced
MERGE	since	en:since	bare lemma tag, now namespaced
MERGE	sing	es:sing	bare lemma tag, now namespaced
MERGE	sino	es:sino	bare lemma tag, now namespaced
MERGE	slide	es:slide	bare lemma tag, now namespaced
MERGE	slow	en:slow	bare lemma tag, now namespaced
MERGE	deal	es:deal	bare lemma tag, now namespaced
MERGE	casi	es:casi	bare lemma tag, now namespaced
MERGE	solicitud	es:solicitud	bare lemma tag, now namespaced
MERGE	cheap	en:cheap	bare lemma tag, now namespaced
MERGE	fast	en:fast	bare lemma tag, now namespaced
MERGE	sort	en:sort	bare lemma tag, now namespaced
MERGE	safe	en:safe	bare lemma tag, now namespaced
MERGE	feed	es:feed	bare lemma tag, now namespaced
MERGE	hurt	es:hurt	bare lemma tag, now namespaced
MERGE	or	en:or	bare lemma tag, now namespaced
MERGE	split	es:split	bare lemma tag, now namespaced
MERGE	ring	es:ring	bare lemma tag, now namespaced
MERGE	spread	es:spread	bare lemma tag, now namespaced
MERGE	ride	es:ride	bare lemma tag, now namespaced
MERGE	steal	es:steal	bare lemma tag, now namespaced
MERGE	stick	es:stick	bare lemma tag, now namespaced
MERGE	sting	es:sting	bare lemma tag, now namespaced
MERGE	stride	es:stride	bare lemma tag, now namespaced
MERGE	strike	es:strike	bare lemma tag, now namespaced
MERGE	string	es:string	bare lemma tag, now namespaced
MERGE	only	en:only	bare lemma tag, now namespaced
MERGE	bend	es:bend	bare lemma tag, now namespaced
MERGE	fight	es:fight	bare lemma tag, now namespaced
MERGE	decide	en:decide	bare lemma tag, now namespaced
MERGE	swear	es:swear	bare lemma tag, now namespaced
MERGE	often	en:often	bare lemma tag, now namespaced
MERGE	sweep	es:sweep	bare lemma tag, now namespaced
MERGE	swim	es:swim	bare lemma tag, now namespaced
MERGE	swing	es:swing	bare lemma tag, now namespaced
MERGE	even	en:even	bare lemma tag, now namespaced
MERGE	address	en:address	bare lemma tag, now namespaced
MERGE	tardar	es:tardar	bare lemma tag, now namespaced
MERGE	cling	es:cling	bare lemma tag, now namespaced
MERGE	teach	es:teach	bare lemma tag, now namespaced
MERGE	realize	en:realize	bare lemma tag, now namespaced
MERGE	read	es:read	bare lemma tag, now namespaced
MERGE	flee	es:flee	bare lemma tag, now namespaced
MERGE	bind	es:bind	bare lemma tag, now namespaced
MERGE	fling	es:fling	bare lemma tag, now namespaced
MERGE	rapid	en:rapid	bare lemma tag, now namespaced
MERGE	thrust	es:thrust	bare lemma tag, now namespaced
MERGE	tidy	en:tidy	bare lemma tag, now namespaced
MERGE	quit	es:quit	bare lemma tag, now namespaced
MERGE	are	en:are	bare lemma tag, now namespaced
MERGE	fly	es:fly	bare lemma tag, now namespaced
MERGE	quick	en:quick	bare lemma tag, now namespaced
MERGE	forbid	es:forbid	bare lemma tag, now namespaced
MERGE	encantar	es:encantar	bare lemma tag, now namespaced
MERGE	forgive	es:forgive	bare lemma tag, now namespaced
MERGE	understand	es:understand	bare lemma tag, now namespaced
MERGE	blow	es:blow	bare lemma tag, now namespaced
MERGE	freeze	es:freeze	bare lemma tag, now namespaced
MERGE	funny	en:funny	bare lemma tag, now namespaced
MERGE	desde	es:desde	bare lemma tag, now namespaced
MERGE	elegir	es:elegir	bare lemma tag, now namespaced
MERGE	good	en:good	bare lemma tag, now namespaced
MERGE	either	en:either	bare lemma tag, now namespaced
MERGE	notice	en:notice	bare lemma tag, now namespaced
MERGE	weave	es:weave	bare lemma tag, now namespaced
MERGE	arise	es:arise	bare lemma tag, now namespaced
MERGE	weep	es:weep	bare lemma tag, now namespaced
MERGE	único	es:único	bare lemma tag, now namespaced
MERGE	aceptar	es:aceptar	bare lemma tag, now namespaced
MERGE	acquaintance	en:acquaintance	bare lemma tag, now namespaced
MERGE	acá	es:acá	bare lemma tag, now namespaced
MERGE	add	en:add	bare lemma tag, now namespaced
MERGE	además	es:además	bare lemma tag, now namespaced
MERGE	admitir	es:admitir	bare lemma tag, now namespaced
MERGE	ago	en:ago	bare lemma tag, now namespaced
MERGE	aim	en:aim	bare lemma tag, now namespaced
MERGE	ambos	es:ambos	bare lemma tag, now namespaced
MERGE	another	en:another	bare lemma tag, now namespaced
MERGE	ante	es:ante	bare lemma tag, now namespaced
MERGE	anterior	es:anterior	bare lemma tag, now namespaced
MERGE	anymore	en:anymore	bare lemma tag, now namespaced
MERGE	anytime	en:anytime	bare lemma tag, now namespaced
MERGE	apologize	en:apologize	bare lemma tag, now namespaced
MERGE	apply	en:apply	bare lemma tag, now namespaced
MERGE	aquí	es:aquí	bare lemma tag, now namespaced
MERGE	arrancar	es:arrancar	bare lemma tag, now namespaced
MERGE	arrest	en:arrest	bare lemma tag, now namespaced
MERGE	asegurar	es:asegurar	bare lemma tag, now namespaced
MERGE	atrapar	es:atrapar	bare lemma tag, now namespaced
MERGE	aumentar	es:aumentar	bare lemma tag, now namespaced
MERGE	aunque	es:aunque	bare lemma tag, now namespaced
MERGE	authorize	en:authorize	bare lemma tag, now namespaced
MERGE	available	en:available	bare lemma tag, now namespaced
MERGE	avoid	en:avoid	bare lemma tag, now namespaced
MERGE	beg	en:beg	bare lemma tag, now namespaced
MERGE	benefit	en:benefit	bare lemma tag, now namespaced
MERGE	bless	en:bless	bare lemma tag, now namespaced
MERGE	block	en:block	bare lemma tag, now namespaced
MERGE	book	en:book	bare lemma tag, now namespaced
MERGE	borrow	en:borrow	bare lemma tag, now namespaced
MERGE	brindar	es:brindar	bare lemma tag, now namespaced
MERGE	cada	es:cada	bare lemma tag, now namespaced
MERGE	calcular	es:calcular	bare lemma tag, now namespaced
MERGE	cambio	es:cambio	bare lemma tag, now namespaced
MERGE	can't	en:can't	bare lemma tag, now namespaced
MERGE	cannot	en:cannot	bare lemma tag, now namespaced
MERGE	claro	es:claro	bare lemma tag, now namespaced
MERGE	coincidir	es:coincidir	bare lemma tag, now namespaced
MERGE	comenzar	es:comenzar	bare lemma tag, now namespaced
MERGE	comparecer	es:comparecer	bare lemma tag, now namespaced
MERGE	completo	es:completo	bare lemma tag, now namespaced
MERGE	comunicar	es:comunicar	bare lemma tag, now namespaced
MERGE	consider	en:consider	bare lemma tag, now namespaced
MERGE	construir	es:construir	bare lemma tag, now namespaced
MERGE	contradict	en:contradict	bare lemma tag, now namespaced
MERGE	convencer	es:convencer	bare lemma tag, now namespaced
MERGE	corriente	es:corriente	bare lemma tag, now namespaced
MERGE	couldn't	en:couldn't	bare lemma tag, now namespaced
MERGE	cruzar	es:cruzar	bare lemma tag, now namespaced
MERGE	cualquiera	es:cualquiera	bare lemma tag, now namespaced
MERGE	curse	en:curse	bare lemma tag, now namespaced
MERGE	debido	es:debido	bare lemma tag, now namespaced
MERGE	decline	en:decline	bare lemma tag, now namespaced
MERGE	deliver	en:deliver	bare lemma tag, now namespaced
MERGE	demand	en:demand	bare lemma tag, now namespaced
MERGE	depender	es:depender	bare lemma tag, now namespaced
MERGE	desarrollar	es:desarrollar	bare lemma tag, now namespaced
MERGE	detain	en:detain	bare lemma tag, now namespaced
MERGE	detrás	es:detrás	bare lemma tag, now namespaced
